JetBrains.ReSharper.UnitTestExplorer.dll	JetBrains.ReSharper.UnitTestExplorer.Resources.Strings	40	1	JetBrains	ui	0
NuGet.Packaging.dll	NuGet.Packaging.PackageCreation.Resources.NuGetResources	40	0	third-party	third-party	0
NuGet.Packaging.dll	NuGet.Packaging.Rules.AnalysisResources	40	0	third-party	third-party	0
JetBrains.ReSharper.UnitTestProvider.JavaScript.dll	JetBrains.ReSharper.UnitTestProvider.JavaScript.Resources.Strings	36	1	JetBrains	ui	0
JetBrains.ReSharper.Daemon.Resx.dll	JetBrains.ReSharper.Daemon.Resx.Resources.Strings	33	1	JetBrains	ui	0
Microsoft.VisualStudio.TestPlatform.Common.dll	Microsoft.VisualStudio.TestPlatform.Common.Resources.Resources	33	0	third-party	third-party	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Resources.Strings1	31	1	JetBrains	ui	0
JetBrains.ReSharper.UnitTestProvider.nUnit.dll	JetBrains.ReSharper.UnitTestProvider.nUnit.Resources.Strings	31	1	JetBrains	ui	0
System.Windows.Controls.Input.Toolkit.dll	System.Windows.Controls.Properties.Resources	30	0	third-party	third-party	0
JetBrains.PsiFeatures.UIInteractive.LiveTemplates.dll	JetBrains.PsiFeatures.UIInteractive.LiveTemplates.Resources.Strings	29	1	JetBrains	ui	0
Microsoft.VisualStudio.SolutionPersistence.dll	Microsoft.VisualStudio.SolutionPersistence.Errors	29	0	third-party	third-party	0
NuGet.ProjectModel.dll	NuGet.ProjectModel.Strings	28	0	third-party	third-party	0
System.Windows.Controls.DataVisualization.Toolkit.dll	System.Windows.Controls.DataVisualization.Properties.Resources	28	0	third-party	third-party	0
JetBrains.Platform.VisualStudio.AnyEnd.dll	JetBrains.Platform.VisualStudio.AnyEnd.Resources.Strings	27	1	JetBrains	ui	0
Microsoft.CodeAnalysis.Workspaces.dll	Microsoft.CodeAnalysis.WorkspaceExtensionsResources	27	0	third-party	third-party	0
JetBrains.dotTrace.VisualStudio.Core.dll	JetBrains.dotTrace.VS.Resources.Strings	26	1	JetBrains	ui	0
JetBrains.ReSharper.Feature.Services.ExternalSources.CSharp.dll	JetBrains.ReSharper.Feature.Services.ExternalSources.CSharp.Resources.Strings	24	1	JetBrains	ui	0
DevExpress.XtraTreeList.v7.1.dll	DevExpress.XtraTreeList.LocalizationRes	23	0	third-party	third-party	0
JetBrains.ReSharper.Daemon.Protobuf.dll	JetBrains.ReSharper.Daemon.Protobuf.Resources.Strings	23	1	JetBrains	ui	0
JetBrains.ReSharper.Daemon.Xml.dll	JetBrains.ReSharper.Daemon.Xml.Resources.Strings	22	1	JetBrains	ui	0
JetBrains.Platform.Standalone.TextControl.dll	JetBrains.Standalone.TextControl.Resources.Strings	22	1	JetBrains	ui	0
Microsoft.Deployment.Compression.Cab.dll	Microsoft.Deployment.Compression.Cab.Errors	22	0	third-party	third-party	0
JetBrains.DotTrace.DataStructures.dll	JetBrains.DotTrace.DataStructures.Resources.Strings	21	1	JetBrains	ui	0
JetBrains.ReSharper.InplaceRefactorings.dll	JetBrains.ReSharper.InplaceRefactorings.Resources.Strings	21	1	JetBrains	ui	0
JetBrains.ReSharper.Intentions.Resx.dll	JetBrains.ReSharper.Intentions.Resx.Resources.Strings	21	1	JetBrains	ui	0
Microsoft.CodeAnalysis.Scripting.dll	Microsoft.CodeAnalysis.Scripting.ScriptingResources	21	0	third-party	third-party	0
JetBrains.ReSharper.Daemon.BuildScripts.dll	JetBrains.ReSharper.Daemon.BuildScripts.Resources.Strings	20	1	JetBrains	ui	0
JetBrains.ReSharper.UnitTesting.VsTest.Provider.dll	JetBrains.ReSharper.UnitTesting.VsTest.Provider.Resources.Strings	20	1	JetBrains	ui	0
JetBrains.Platform.UIInteractive.Ide.dll	JetBrains.Platform.UIInteractive.Ide.Resources.Strings	19	1	JetBrains	ui	0
JetBrains.ReSharper.Features.Intellisense.VB.dll	JetBrains.ReSharper.Features.Intellisense.VB.Resources.LocalizedStrings	19	1	JetBrains	ui	0
JetBrains.ReSharper.Intentions.BuildScripts.dll	JetBrains.ReSharper.Intentions.BuildScripts.Resources.Strings	19	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Protobuf.dll	JetBrains.ReSharper.Psi.Protobuf.Resources.Strings	18	1	JetBrains	ui	0
JetBrains.Common.Util.ViewModel.dll	JetBrains.Common.Util.ViewModel.Resources.Strings	17	1	JetBrains	ui	0
System.Windows.Controls.Layout.Toolkit.dll	System.Windows.Controls.Properties.Resources	17	0	third-party	third-party	0
JetBrains.dotMemory.Core.dll	JetBrains.dotMemory.Core.Resources.Strings	16	1	JetBrains	ui	0
JetBrains.ReSharper.I18n.Services.CSharp.dll	JetBrains.ReSharper.I18n.Services.CSharp.Resources.Strings	16	1	JetBrains	ui	0
Microsoft.CodeAnalysis.Elfie.dll	Microsoft.CodeAnalysis.Elfie.Resources	16	0	third-party	third-party	0
Microsoft.TestPlatform.CoreUtilities.dll	Microsoft.VisualStudio.TestPlatform.CoreUtilities.Resources.Resources	16	0	third-party	third-party	0
System.Reactive.dll	System.Reactive.Strings_Linq	16	0	third-party	third-party	0
JetBrains.Platform.Shell.dll	JetBrains.Application.BuildScript.Compile.LicenseTexts	15	0	JetBrains	data/legal	0
JetBrains.Profiler.Windows.Impl.dll	JetBrains.Profiler.Windows.Resources.Strings	15	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Razor.CSharp.Resources.Texts	15	0	JetBrains	data/legal	0
JetBrains.dotMemory.VisualStudio.dll	JetBrains.dotMemory.VisualStudio.Resources.Strings	14	1	JetBrains	ui	0
JetBrains.ReSharper.Feature.Services.Protobuf.dll	JetBrains.ReSharper.Feature.Services.Protobuf.Resources.Strings	14	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Asp.Resources.Sharepoint.ResourceFiles.sllayout	14	0	JetBrains	data/legal	0
